bp,bm,cp,cm
447,436,1822,1806
446,436,1833,1816
446,437,1844,1827
446,437,1854,1837
447,436,1865,1849
446,436,1876,1859
446,437,1888,1870
447,436,1898,1881
446,436,1908,1892
446,436,1918,1901
447,436,1929,1912
446,436,1940,1923
447,437,1951,1935
447,436,1961,1944
447,437,1972,1955
446,436,1983,1966
446,436,1992,1976
446,437,2003,1986
447,436,2013,1996
447,436,2024,2007
447,437,2034,2017
447,437,2044,2027
447,437,2055,2038
447,437,2065,2048
447,437,2075,2059
446,437,2086,2069
447,437,2096,2080
446,436,2106,2090
446,436,2117,2101
447,436,2128,2111
446,436,2138,2121
446,437,2148,2132
447,437,2159,2142
446,436,2169,2153
447,436,2179,2163
446,436,2190,2173
447,436,2200,2183
446,436,2210,2194
446,437,2221,2204
446,437,2231,2214
446,437,2241,2225
446,436,2252,2235
446,436,2262,2246
447,436,2273,2256
446,436,2284,2267
447,436,2295,2278
447,436,2306,2289
447,436,2316,2299
447,436,2327,2310
447,437,2338,2321
447,437,2348,2332
447,436,2359,2342
446,436,2369,2353
446,437,2380,2363
446,436,2391,2374
446,437,2401,2384
447,436,2412,2395
446,436,2422,2405
447,437,2432,2415
446,437,2442,2426
447,436,2453,2436
446,436,2463,2446
447,437,2474,2457
446,436,2484,2467
447,436,2496,2478
447,436,2505,2489
447,436,2515,2498
447,436,2526,2508
447,437,2536,2519
447,437,2546,2530
447,436,2557,2540
447,436,2567,2550
446,436,2577,2561
446,436,2588,2571
446,436,2598,2582
446,436,2609,2592
446,436,2618,2601
447,436,2628,2611
446,436,2638,2622
447,437,2648,2631
447,436,2660,2642
446,437,2670,2653
447,436,2680,2663
446,436,2690,2673
447,437,2699,2683
447,437,2709,2693
446,437,2719,2703
446,436,2729,2712
665,398,0,0
665,403,10,9
664,406,21,19
664,410,33,30
665,414,44,40
665,417,55,50
665,420,66,60
664,423,78,70
664,426,89,80
664,429,100,90
664,433,112,101
664,435,123,110
664,438,134,120
665,441,146,131
664,444,157,141
664,447,168,151
664,449,181,161
664,452,192,171
665,454,203,181
664,457,214,191
665,459,225,201
664,462,236,211
664,464,247,220
664,467,258,230
665,469,269,239
664,472,280,250
664,474,291,259
665,477,302,269
664,479,313,278
664,481,324,289
665,483,335,298
665,486,346,308
665,488,357,318
664,490,368,327
664,492,379,336
665,495,389,346
665,497,400,356
664,499,411,365
665,501,423,375
664,503,433,384
664,505,444,394
665,508,455,404
665,510,467,413
665,512,477,423
664,514,488,433
664,517,500,443
665,519,509,452
665,521,520,461
665,523,530,470
665,525,541,479
665,527,552,489
665,529,562,498
664,531,573,508
664,533,584,517
665,535,595,527
665,537,606,537
665,539,617,546
665,542,628,555
665,543,638,565
664,545,649,575
664,547,660,585
665,549,671,594
665,551,681,603
664,553,692,613
664,555,703,622
665,557,714,632
665,559,725,642
665,561,735,651
665,563,746,660
664,565,756,670
664,567,767,679
665,569,778,689
664,571,789,699
665,572,800,708
664,574,810,718
664,576,821,727
665,578,832,736
665,580,843,746
664,581,853,755
665,583,864,765
665,585,874,774
664,586,885,783
665,588,894,792
665,589,905,802
665,590,916,812
665,592,926,821
665,593,936,831
665,594,948,842
665,595,959,852
665,597,969,862
665,597,980,872
665,598,990,881
665,598,1000,892
665,598,1012,903
665,598,1023,914
665,598,1034,925
665,598,1045,936
665,599,1056,947
665,599,1067,958
665,599,1078,968
665,599,1088,979
665,598,1099,990
665,598,1110,1000
665,598,1120,1011
665,599,1130,1021
664,598,1142,1033
665,599,1153,1044
665,598,1164,1055
665,599,1175,1066
665,599,1186,1077
665,598,1196,1087
665,599,1207,1098
665,599,1217,1108
665,599,1228,1119
665,598,1239,1130
665,598,1250,1141
665,599,1261,1152
665,599,1272,1163
665,599,1283,1173
665,598,1294,1185
665,599,1304,1195
665,599,1316,1207
665,599,1327,1217
665,599,1337,1228
665,599,1349,1239
665,599,1359,1249
665,599,1370,1260
665,599,1381,1272
665,599,1392,1282
665,599,1403,1294
665,598,1413,1303
665,598,1423,1314
665,599,1435,1325
665,599,1445,1336
665,599,1455,1346
665,599,1466,1357
665,599,1476,1367
665,598,1487,1377
664,599,1498,1388
665,599,1509,1400
665,599,1519,1410
665,599,1530,1421
665,599,1542,1432
665,599,1552,1443
665,599,1564,1454
665,598,1574,1465
665,598,1585,1476
664,599,1596,1487
665,599,1608,1499
664,599,1618,1509
665,599,1629,1519
664,599,1640,1530
665,599,1650,1541
664,599,1661,1552
665,599,1672,1562
665,599,1683,1573
665,599,1693,1584
665,599,1703,1593
665,599,1713,1604
664,599,1724,1615
665,599,1735,1625
665,599,1745,1636
664,599,1755,1646
665,599,1766,1656
664,599,1777,1668
665,599,1787,1677
665,599,1797,1687
665,599,1807,1697
665,599,1817,1707
665,599,1828,1718
665,599,1838,1729
664,599,1850,1740
665,599,1860,1750
665,599,1872,1762
665,599,1882,1772
664,599,1892,1783
665,599,1902,1793
665,599,1913,1803
665,599,1924,1814
664,599,1936,1826
665,599,1945,1835
664,599,1956,1846
665,599,1967,1857
665,599,1977,1867
665,599,1987,1877
665,599,1997,1888
665,599,2008,1898
665,599,2018,1908
665,599,2028,1918
664,599,2039,1929
664,599,2050,1940
665,599,2060,1950
665,599,2070,1961
665,599,2081,1971
664,599,2091,1981
665,599,2102,1992
665,599,2112,2003
664,599,2121,2012
665,599,2133,2023
664,599,2143,2033
664,599,2154,2044
665,599,2164,2054
664,599,2174,2064
664,599,2185,2075
665,599,2195,2085
664,599,2205,2095
665,599,2215,2105
665,599,2226,2116
664,599,2236,2127
665,599,2247,2137
665,599,2257,2148
665,599,2268,2158
665,599,2279,2169
665,599,2290,2180
665,599,2301,2191
665,599,2312,2202
665,599,2322,2212
664,599,2333,2223
665,599,2343,2233
665,599,2353,2244
664,599,2365,2255
664,599,2376,2266
664,599,2385,2275
665,599,2396,2287
664,599,2406,2296
664,599,2416,2306
665,599,2427,2316
665,599,2437,2327
665,599,2447,2337
665,599,2457,2347
665,599,2468,2359
664,599,2480,2370
665,599,2490,2379
665,599,2499,2389
664,599,2510,2400
665,599,2520,2410
665,599,2530,2421
664,599,2541,2431
664,599,2551,2441
664,599,2561,2452
664,599,2572,2462
664,599,2583,2472
664,599,2593,2482
664,599,2602,2492
664,599,2612,2502
664,599,2623,2513
664,599,2633,2523
664,599,2643,2534
664,599,2654,2544
664,599,2664,2554
665,599,2673,2564
665,599,2684,2574
665,599,2694,2584
664,599,2704,2593
664,599,2714,2603
882,413,0,0
882,416,10,9
882,419,21,19
882,422,32,30
882,425,43,39
882,428,54,49
882,431,66,59
882,434,78,69
882,436,89,79
882,439,100,90
882,442,112,100
882,444,123,109
882,447,134,119
882,450,145,130
882,453,157,140
882,455,169,150
882,458,180,160
882,460,192,170
882,463,202,180
882,465,214,190
882,468,225,200
882,470,235,209
882,473,247,219
882,475,258,228
882,477,268,238
882,480,280,248
882,482,291,257
882,484,301,267
882,486,312,277
882,489,324,286
883,491,335,296
882,493,346,306
882,496,357,316
883,498,367,325
882,500,379,335
883,502,389,344
882,505,400,354
882,507,411,363
882,509,422,372
882,511,433,382
882,514,444,392
882,516,455,402
882,518,466,411
882,520,477,421
882,522,488,431
882,525,499,440
882,527,509,449
882,529,520,459
882,531,530,467
882,533,541,477
882,535,551,486
882,537,562,496
882,539,573,505
882,541,584,515
882,544,595,524
882,546,605,533
882,548,616,543
882,550,627,553
882,552,638,562
882,554,649,572
882,556,660,581
882,558,671,591
882,560,681,599
882,563,692,609
882,564,702,619
882,566,714,628
883,569,724,638
883,571,735,647
882,573,746,656
882,575,756,665
882,577,766,675
882,579,778,684
882,581,789,694
882,583,799,703
883,585,810,713
882,587,821,722
882,589,831,731
883,591,842,740
883,593,851,749
882,595,863,759
883,597,873,768
883,599,884,777
883,601,893,785
882,603,903,795
883,605,915,804
882,607,925,813
883,609,935,823
882,611,947,832
883,613,958,842
882,615,968,851
882,617,978,860
882,619,988,869
883,622,999,877
882,623,1010,888
882,625,1021,897
882,627,1032,907
882,629,1042,916
882,631,1052,925
882,634,1064,935
883,636,1074,944
882,637,1084,953
882,639,1095,962
882,641,1105,971
882,643,1116,980
882,645,1126,990
